Scheme Name	Net Asset Value
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	28.8928
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.5928
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.6986
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.2761
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.2413
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.4744
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5168
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.1028
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.6202
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.5835
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.8071
DSP Corporate Bond Fund - Direct - Growth	16.0541
DSP Corporate Bond Fund - Direct - IDCW	11.3526
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.5639
DSP Corporate Bond Fund - Direct - IDCW - Quarterly	11.3996
DSP Corporate Bond Fund - Regular - Growth	15.785
DSP Corporate Bond Fund - Regular - IDCW	11.3279
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5408
DSP Corporate Bond Fund - Regular - IDCW - Quarterly	10.749
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	106.6030
Franklin India Corporate Debt Fund - Growth	98.5217
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	16.8188
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	18.8691
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9627
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.2663
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.8129
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.7132
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.3659
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1452
HDFC Corporate Bond Fund - Growth Option	32.2898
HDFC Corporate Bond Fund - Growth Option - Direct Plan	32.9834
HDFC Corporate Bond Fund - IDCW Option	19.5473
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.2099
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.5485
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.4323
HSBC Corporate Bond Fund - Direct Annual IDCW	11.8465
HSBC Corporate Bond Fund - Direct Growth	77.0135
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.4959
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.1178
HSBC Corporate Bond Fund - Regular Annual IDCW	11.5974
HSBC Corporate Bond Fund - Regular Growth	72.333
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.0943
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	16.8273
HSBC Corporate Bond Fund -Regular Plan - Bonus	27.476
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	30.9498
